Country,Air pollution,Dwellings without basic facilities,Educational attainment,Employees working very long hours,Employment rate,Feeling safe walking alone at night,Homicide rate,Household net adjusted disposable income,Household net wealth,Housing expenditure,Labour market insecurity,Life expectancy,Life satisfaction,Long-term unemployment rate,Personal earnings,Quality of support network,Rooms per person,Self-reported health,Stakeholder engagement for developing regulations,Student skills,Voter turnout,Water quality,Years in education,Air pollution_norm,Dwellings without basic facilities_norm,Educational attainment_norm,Employees working very long hours_norm,Employment rate_norm,Feeling safe walking alone at night_norm,Homicide rate_norm,Household net adjusted disposable income_norm,Household net wealth_norm,Housing expenditure_norm,Labour market insecurity_norm,Life expectancy_norm,Life satisfaction_norm,Long-term unemployment rate_norm,Personal earnings_norm,Quality of support network_norm,Rooms per person_norm,Self-reported health_norm,Stakeholder engagement for developing regulations_norm,Student skills_norm,Voter turnout_norm,Water quality_norm,Years in education_norm,Housing,Income,Jobs,Community,Education,Environment,Civic engagement,Health,Life satisfaction_ov,Safety,Work-life balance,Total_Score
Australia,6.7,0,84,12.5,73,67,0.9,37433,528768,19.4,3.1,83,7.1,1,55206,93,1.96,85,2.7,499,92,92,20,0.95,1,0.79,0.54,0.83,0.51,0.97,0.67,0.53,0.63,0.94,0.93,0.73,0.94,0.77,0.76,0.62,0.93,0.75,0.79,1,0.83,1,0.81,0.65,0.9,0.76,0.9,0.9,1,0.98,0.73,0.74,0.54,8.91
Austria,12.2,0.8,86,5.3,72,86,0.5,37001,309637,20.8,2.3,82,7.2,1.3,53132,92,1.6,71,1.3,491,76,92,17,0.71,0.98,0.83,0.81,0.8,0.87,0.99,0.66,0.28,0.52,0.96,0.88,0.77,0.93,0.74,0.71,0.4,0.67,0.05,0.72,0.66,0.83,0.5,0.63,0.51,0.88,0.71,0.69,0.77,0.37,0.73,0.77,0.94,0.81,7.81
Belgium,12.8,0.7,80,4.3,65,56,1.1,34884,447607,20,2.4,82.1,6.8,2.3,54327,90,2.1,74,2,500,88,79,19,0.68,0.98,0.72,0.84,0.63,0.3,0.97,0.61,0.44,0.58,0.96,0.89,0.63,0.87,0.76,0.62,0.7,0.73,0.4,0.79,0.91,0.47,0.83,0.82,0.57,0.83,0.62,0.8,0.57,0.73,0.79,0.63,0.63,0.84,7.83
Brazil,11.7,6.7,57,5.6,57,45,19,23654.64,194843.81,19.5,9.18,75.9,6.1,4.18,31040.15,83,1.46,73,2.2,400,80,70,16,0.73,0.81,0.28,0.8,0.44,0.09,0.29,0.34,0.15,0.62,0.76,0.58,0.4,0.77,0.39,0.29,0.31,0.71,0.5,0,0.74,0.22,0.33,0.54,0.26,0.61,0.29,0.12,0.47,0.69,0.53,0.4,0.18,0.8,4.89
Canada,7.1,0.2,92,3.3,70,78,1.2,34421,478240,22.9,3.8,82.1,7,0.5,55342,93,2.6,89,2.9,517,68,90,17,0.93,0.99,0.94,0.88,0.76,0.72,0.96,0.6,0.47,0.35,0.92,0.89,0.7,0.97,0.78,0.76,1,1,0.85,0.93,0.49,0.78,0.5,0.86,0.58,0.88,0.76,0.81,0.86,0.75,1,0.7,0.85,0.88,8.93
Chile,23.4,9.4,67,7.7,56,41,2.4,22012.49,135787,18.4,7,80.6,6.2,2.68,26729,88,1.9,60,1.3,438,47,62,17,0.22,0.74,0.47,0.72,0.41,0.02,0.92,0.3,0.08,0.71,0.83,0.81,0.43,0.85,0.32,0.52,0.58,0.47,0.05,0.3,0.04,0,0.5,0.7,0.21,0.62,0.52,0.38,0.08,0,0.52,0.43,0.46,0.72,4.64
Colombia,22.6,12.3,59,23.7,58,50,23.1,16586.78,68416.05,18.4,3.92,76.7,5.7,1.1,19512.23,80,1,80,1.4,406,53,82,14,0.26,0.66,0.32,0.12,0.46,0.19,0.14,0.17,0.01,0.71,0.92,0.62,0.27,0.94,0.21,0.14,0.04,0.84,0.1,0.05,0.17,0.56,0,0.36,0.1,0.65,0.14,0.03,0.4,0.11,0.66,0.27,0.15,0.12,2.99
Costa Rica,17.5,2.3,43,22,55,47,10,16517,67167.93,17,4.67,80.5,6.3,1.5,21477.72,82,1.2,73,1.8,415,66,87,16.2,0.48,0.94,0.02,0.19,0.39,0.13,0.63,0.17,0.01,0.82,0.89,0.81,0.47,0.92,0.24,0.24,0.16,0.71,0.3,0.12,0.45,0.69,0.37,0.64,0.1,0.63,0.24,0.08,0.58,0.4,0.71,0.47,0.37,0.19,4.41
Czech Republic,17,0.5,94,4.5,74,77,0.7,26664,248674.34,23.4,2.3,79.3,6.9,0.6,29885,96,1.5,62,1.6,495,62,89,18,0.5,0.99,0.98,0.84,0.85,0.7,0.98,0.41,0.21,0.31,0.96,0.75,0.67,0.97,0.37,0.9,0.34,0.51,0.2,0.75,0.36,0.75,0.67,0.49,0.34,0.81,0.9,0.83,0.62,0.28,0.51,0.67,0.85,0.84,7.14
Denmark,10,0.5,82,1.1,74,85,0.5,33774,149864,23.3,4.5,81.5,7.5,0.9,58430,95,1.9,70,2,501,85,93,19,0.8,0.99,0.75,0.96,0.85,0.85,0.99,0.58,0.1,0.32,0.9,0.86,0.87,0.95,0.83,0.86,0.58,0.65,0.4,0.8,0.85,0.86,0.83,0.62,0.37,0.91,0.86,0.82,0.84,0.7,0.7,0.87,0.93,0.96,8.58
